,Enteroendocrine,Stem,Paneth,Tuft,Goblet,TA,Early enterocyte precursor cell,Late enterocyte precursor cell,Enteroendocrine precursor cell
386,Rnf167,,,,Ssr4,,,,
387,Rnf41,,,,Stard3nl,,,,
388,Rnf6,,,,Tff3,,,,
389,Rpl31,,,,Tm9sf3,,,,
390,Rpl37a,,,,Tmed3,,,,
391,Rybp,,,,Tmed9,,,,
392,S100a6,,,,Tmsb10,,,,
393,NA,,,,Tnfaip8,,,,
394,Serf2,,,,Tpd52,,,,
395,Sf3a3,,,,Tpsg1,,,,
396,Sfi1,,,,Tram1,,,,
397,Sh3bgrl3,,,,Tspan13,,,,
398,Shb,,,,Tsta3,,,,
399,Sis,,,,Ttc39a,,,,
400,Slc29a1,,,,Txndc5,,,,
401,Slc29a4,,,,Uap1,,,,
402,Slc39a2,,,,NA,,,,
403,Slc5a1,,,,Wars,,,,
404,Slc7a5,,,,Xbp1,,,,
405,Slco4a1,,,,Zg16,,,,
406,Smarca4,,,,,,,,
407,Smarcd2,,,,,,,,
408,Snd1,,,,,,,,
409,Snn,,,,,,,,
410,Sorcs2,,,,,,,,
411,Sox4,,,,,,,,
412,Sp9,,,,,,,,
413,Spg21,,,,,,,,
414,Spink4,,,,,,,,
415,Spint2,,,,,,,,
416,Ssh3,,,,,,,,
417,St18,,,,,,,,
418,Steap2,,,,,,,,
419,Stxbp1,,,,,,,,
420,Syt13,,,,,,,,
421,Tbc1d9,,,,,,,,
422,Tceanc2,,,,,,,,
423,Tcf3,,,,,,,,
424,Tead1,,,,,,,,
425,Tead2,,,,,,,,
426,Tecpr1,,,,,,,,
427,Tecr,,,,,,,,
428,Tff3,,,,,,,,
429,Tgm5,,,,,,,,
430,Tkt,,,,,,,,
431,Tm4sf20,,,,,,,,
432,Tmem129,,,,,,,,
433,Tmem176b,,,,,,,,
434,Tmem44,,,,,,,,
435,Tmem59,,,,,,,,
436,Top1,,,,,,,,
437,Trappc1,,,,,,,,
438,Trib1,,,,,,,,
439,Trit1,,,,,,,,
440,Trp53i11,,,,,,,,
441,Trp53inp1,,,,,,,,
442,Trpv6,,,,,,,,
443,Tspan5,,,,,,,,
444,Ttyh2,,,,,,,,
445,Ttyh3,,,,,,,,
446,Tuba1a,,,,,,,,
447,Tubb2b,,,,,,,,
448,Tubb5,,,,,,,,
449,Txn1,,,,,,,,
450,Txnip,,,,,,,,
451,Ubb,,,,,,,,
452,Ube2b,,,,,,,,
453,Ube2v2,,,,,,,,
454,Ucp2,,,,,,,,
455,Ulk1,,,,,,,,
456,Unc5b,,,,,,,,
457,Usf2,,,,,,,,
458,Utrn,,,,,,,,
459,Vasp,,,,,,,,
460,Vezf1,,,,,,,,
461,Vps37c,,,,,,,,
462,Vwa5b2,,,,,,,,
463,Yme1l1,,,,,,,,
464,Zc3h18,,,,,,,,
465,Zfp113,,,,,,,,
466,Zfp280d,,,,,,,,
467,Zfp326,,,,,,,,
468,Zfp428,,,,,,,,
469,Zswim6,,,,,,,,
470,Reg4,,,,,,,,
471,Anxa6,,,,,,,,
472,Aplp1,,,,,,,,
473,Bex2,,,,,,,,
474,Cacna2d1,,,,,,,,
475,Cck,,,,,,,,
476,Celf3,,,,,,,,
477,Chgb,,,,,,,,
478,Cnot6l,,,,,,,,
479,Cplx2,,,,,,,,
480,Fabp5,,,,,,,,
481,Fam183b,,,,,,,,
482,Fev,,,,,,,,
483,Gfra3,,,,,,,,
484,Gng4,,,,,,,,
485,Gpx3,,,,,,,,
486,Insm1,,,,,,,,
487,Isl1,,,,,,,,
488,Maged1,,,,,,,,
489,Neurod1,,,,,,,,
490,Neurog3,,,,,,,,
491,NA,,,,,,,,
492,Nkx2-2,,,,,,,,
493,Olfm1,,,,,,,,
494,Pax6,,,,,,,,
495,Pcsk1,,,,,,,,
496,Pcsk1n,,,,,,,,
497,Prnp,,,,,,,,
498,Resp18,,,,,,,,
499,Riiad1,,,,,,,,
500,Rimbp2,,,,,,,,
501,Rph3al,,,,,,,,
502,Scg3,,,,,,,,
503,Scg5,,,,,,,,
504,Scgn,,,,,,,,
505,Slc39a2,,,,,,,,
506,Tac1,,,,,,,,
507,Tox3,,,,,,,,
508,Trp53i11,,,,,,,,
509,Vim,,,,,,,,
510,Vwa5b2,,,,,,,,
