,Enteroendocrine,Stem,Paneth,Tuft,Goblet,TA,Early enterocyte precursor cell,Late enterocyte precursor cell,Enteroendocrine precursor cell
74,Hopx,,Cpeb3,Fam19a1,Dbi,Prap1,,,Ddit4
75,Igfbp2,,Creb3l1,Fam213a,Dgat1,Ptma,,,Ddr1
76,Insm1,,Creb3l4,Fam49a,Dhrs1,Ran,,,Ddx24
77,Itm2c,,Crip1,Fryl,Dmwd,Rbp2,,,Dmpk
78,Khk,,Cyb5r3,Fth1,Dnajc10,Reg1,,,Dnajc18
79,Lcorl,,Cycs,Fyb,Dolpp1,Reg4,,,Dpysl2
80,Ldha,,Cyp2b10,Galk1,Eef1a1,NA,,,Dpysl5
81,Ly6a,,Cyp2c29,Gapdh,Eef1b2,Rpl10,,,Drap1
82,Ly6e,,Cyp2c65,Gcnt1,Eif2ak3,Rpl10a,,,Drg1
83,Lypd8,,Cyp2d26,Gdi1,Eny2,Rpl11,,,Dynll1
84,Maged1,,Cyp3a11,NA,NA,Rpl12,,,NA
85,NA,,Cyp4f14,Gna11,Ergic1,Rpl13,,,Enpp3
86,Map1b,,D930020B18Rik,Gpd1,Ern2,Rpl13a,,,NA
87,NA,,NA,Gpi1,Fabp1,Rpl14,,,Fabp2
88,Mdh2,,Dbi,Gprc5c,Fabp2,Rpl15,,,Fam160a2
89,Mgam,,Dctn2,Gpx1,Fam107b,Rpl18,,,Fam213a
90,Mgll,,Ddx17,Gsta1,Fam213a,Rpl18a,,,Fam222a
91,Msx1,,Defa17,Gsta4,Far1,Rpl19,,,Fam96b
92,Mt1,,Defa24,Gstm1,Fbp2,Rpl23,,,Fbxo11
93,Mt2,,Defa6,Gstm3,Fbxo3,Rpl23a,,,Fbxo32
94,Mtch1,,Dgat1,Gsto1,Fbxo36,Rpl27,,,Fbxw11
95,Mttp,,Dkc1,Guca2b,Fcgbp,Rpl27a,,,Fcgbp
96,Neb,,Dll1,H3f3a,Fdft1,Rpl29,,,Fgd2
97,Neurod1,,Dll4,H3f3b,Ffar2,Rpl3,,,Fgd4
98,Neurog3,,Dmbt1,Hadh,Fth1,Rpl31,,,Fgd6
99,Nfasc,,Edn1,Hck,Fxyd3,Rpl31-ps12,,,Foxo6
100,NA,,Eef1a1,Hepacam2,Galnt12,Rpl32,,,Fth1
101,Nkx2-2,,Eef1b2,Hist2h3c1,Gapdh,Rpl35,,,Fxyd3
102,Nr4a1,,Eid1,Hpgds,Gcnt3,Rpl36,,,Gadd45a
103,Olfm1,,Eif2b1,Hsd3b7,NA,Rpl36a,,,Gadd45g
104,Pam,,Ern2,Hsp90aa1,NA,Rpl37,,,Gapdh
105,Pappa2,,Esf1,Ifitm2,NA,Rpl39,,,Glis2
106,Papss2,,Esyt2,Il13ra1,NA,Rpl4,,,Glul
107,Parp1,,Fabp1,Inpp5d,NA,Rpl41,,,NA
108,Pcsk1,,Fabp2,Inpp5j,Gm20594,Rpl5,,,NA
109,Pcsk1n,,Fam114a2,Itpr2,Gm4832,Rpl6,,,NA
110,Phip,,Fam117a,Jun,NA,Rpl7,,,NA
111,Pigr,,Fam20b,Kctd12,NA,Rpl7a,,,Gm20594
112,Pkdcc,,Fam220a,Khk,NA,Rpl8,,,Gnb2
113,Pla2g2f,,Fau,Krt18,NA,Rplp0,,,Gpd1
114,Prap1,,Fbp2,Krt19,Gmds,Rplp1,,,Gpi1
115,Ptprn,,Fcgbp,Krt8,Gna11,Rps10,,,Gpsm1
116,Ptprn2,,Flna,Lect2,NA,Rps11,,,Gpx1
117,Rasd1,,Fth1,Lgals2,Gpd1,Rps12,,,Gpx2
118,Rbms3,,Fxr1,Lima1,Gpi1,Rps13,,,Grn
119,Reg1,,Fyco1,Limd2,Gpx1,Rps16,,,Grpel2
120,Reg4,,Gabarapl1,Lrmp,Gpx2,Rps17,,,Gse1
121,Rfx6,,Gadd45b,Ltc4s,Gpx4,Rps18,,,Gsta1
122,NA,,Galnt12,Ly6g6d,Gsta1,Rps19,,,Gsta4
123,Rnase4,,Galnt4,Ly6g6f,Gsta4,NA,,,Gstm1
124,Rundc3a,,Galnt7,NA,Gstm1,Rps2,,,Gstm3
125,Runx1t1,,Gapdh,NA,Gstm3,Rps20,,,Gsto1
126,Scg3,,NA,Matk,Gsto1,Rps21,,,Gtf2b
127,Scn3a,,Gdpd1,Mdh2,Guca2a,Rps23,,,Gtf2i
128,Serpinb1a,,Glmn,Mgam,Guca2b,Rps24,,,Guca2b
129,Slc18a1,,Gm1123,Mgst3,H2afy,Rps25,,,H2-K1
130,Slc5a1,,NA,Msi2,H2-K1,Rps26,,,H3f3a
131,Sstr1,,NA,Mt1,Hadh,Rps27a,,,H3f3b
132,Suox,,Gm20594,Mt2,Herpud1,Rps3a1,,,Hadh
133,Tac1,,NA,Neurl1a,Hid1,Rps4x,,,Hbp1
134,Tpbg,,Gna11,Nrep,Hnrnpc,Rps5,,,Hdac2
135,Tph1,,Golm1,Nrgn,Igdcc4,Rps6,,,Hdac6
136,Trp53i11,,Gpd1,Oat,Itln1,Rps7,,,Hepacam2
137,Tuba1a,,Gpi1,P4hb,Khk,Rps8,,,Hes6
138,Txn1,,Gpx1,Papss2,Klf9,Rps9,,,Hira
139,Ucn3,,Gpx4,Pde2a,Klk1,Rpsa,,,Hist1h1c
140,Vim,,Gsta1,Pde9a,Krt18,S100g,,,NA
141,NA,,Gsta4,Pea15a,Krt7,NA,,,Hnrnpa0
142,NA,,Gstm1,Pgm2l1,Krt8,Sis,,,Hoxa5
143,NA,,Gstm3,Pigr,Ldha,Slc12a2,,,Hpcal1
144,NA,,Gsto1,Pigt,Lgals2,Slc5a1,,,Hsd11b2
145,2200002D01Rik,,Guca2a,Pik3cg,Lgals4,Snrpg,,,Hunk
146,2210407C18Rik,,Guca2b,Pik3r5,Lman2,NA,,,Hyal2
147,2610008E11Rik,,H2-K1,Pitx2,Lpin1,Tmsb4x,,,Iffo2
148,NA,,Hepacam2,Pla2g4a,Maged2,Tuba1b,,,Ifitm2
149,Acap3,,Herpud1,Plcb2,NA,Ucp2,,,Ift122
150,Adh1,,Hk2,Plcg2,Manf,,,,Immp1l
151,NA,,Hmgcs1,Plxnb1,Map4k4,,,,Insm1
152,Akap9,,Hpd,Pnpla3,NA,,,,Jun
153,Aldob,,Hsp90ab1,Pou2f3,Mettl4,,,,Kdm1a
154,Alpi,,Ints6,Ppp1r3b,Mgam,,,,Khk
155,Ampd3,,Itln1,Ppp3ca,Mgst1,,,,Klc1
156,Anapc5,,Ivns1abp,Prap1,Mlxipl,,,,Krt19
157,Ang,,Kcnh3,Psd3,Mmp15,,,,Krt7
158,Ankrd12,,Khk,Psmd4,Msrb1,,,,Larp1
159,Ap1m2,,Kif11,Ptgs1,Mt1,,,,Ldb1
160,Aplp1,,Klf4,Ptpn6,Mt2,,,,Ldha
161,Apoa1,,Klk1,Pygl,Mttp,,,,Lfng
162,Apoa4,,Krt19,Rab3d,Muc13,,,,Lgals2
163,Arap1,,Krt8,Rap1gap,Muc2,,,,Litaf
164,Arf1,,Lamc2,Reep5,Mvb12a,,,,Lpar6
165,Arhgef28,,Ldb1,Reg1,Mvd,,,,Lrp5
166,Arrdc3,,Ldha,Reg4,Myl6b,,,,Lsm14b
167,Asf1a,,Lgals12,Rgs13,Nat10,,,,Lypd8
168,Atp1a1,,NA,Rhog,Ndrg1,,,,Lzts2
169,Atp1b1,,Lrig1,NA,Ndufv3,,,,Map2k1
170,Atp5h,,Ly6e,Sdcbp2,Nek6,,,,Map4k4
171,Atp6v0e,,Lypd8,NA,Nfia,,,,NA
172,B2m,,Lyz1,Sh2d7,Oat,,,,Marcks
173,Bbx,,Maged1,Sis,Oaz1,,,,Marcksl1
174,BC048507,,NA,Skap2,Oit1,,,,Mcfd2
175,Bccip,,NA,Slc5a1,Pank2,,,,Mex3b
176,Bmpr1a,,Marcks,Slc9a9,Papss2,,,,Mfng
177,Bri3,,Mast4,Slco3a1,Pcid2,,,,Mgam
178,Btbd17,,Matr3,Slco4a1,Pdia3,,,,Mia
179,Btg2,,Mbnl2,Snrnp25,Pdia6,,,,Mpzl1
180,Bzw1,,Mdh1,Sort1,Pdlim1,,,,Mrfap1
181,Caprin1,,Mdh2,Sox4,Pds5a,,,,Mt2
182,Cbfa2t3,,Mgam,Sox9,Phf6,,,,Mta1
183,Ccl25,,Mgst3,Spib,Pigr,,,,Mtch1
184,Cct4,,Mif,Srrm2,Pkm,,,,Mtif3
185,Cd63,,Mmp7,St6galnac2,Ppp1r14b,,,,Mttp
186,Cdc14b,,Mon2,Strip2,Prap1,,,,NA
187,Cdk2ap1,,Mpp3,Syngr2,Prdm15,,,,Myt1
188,Cdk4,,Mrpl39,Tagap1,Prkci,,,,Nelfb
189,Cdk5r1,,Mt1,Tcf4,Psap,,,,Neo1
190,Cdk8,,Mt2,Tecpr1,Ptma,,,,Neurog3
191,Cdkal1,,Mta1,Tm4sf20,Rab3d,,,,Nono
192,Cdx2,,Mttp,Tm4sf4,Rap1gap,,,,Numbl
193,Ces2e,,Muc2,Tmem176a,Rcan3,,,,Nup88
194,Chd7,,Nav1,Tmem176b,Reep5,,,,Oat
195,Chgb,,Ndrg1,Tmsb10,Reg1,,,,Osbpl5
196,Ckmt1,,Ndrg2,Tppp3,Reg4,,,,P4hb
197,Cldn15,,Ndufa6,Trpm5,Rep15,,,,Papss2
198,Cln6,,Nme3,Tspan8,NA,,,,Pard3b
199,Clps,,Npc2,Tuba1a,Rnase4,,,,Pcyox1l
200,Clta,,Nr6a1,Txn1,Rnasek,,,,Pde7a
201,Cnksr3,,Nupr1,Ube2r2,Rpl10,,,,Pdlim1
202,Cnpy2,,Oat,Ucp2,Rpl10a,,,,Pgam1
203,Cog1,,P4hb,Uqcrq,Rpl11,,,,Pgk1
204,Cox6b1,,Pabpc1,Usf2,Rpl12,,,,Pgm2l1
205,Cpne8,,Papss2,Vav1,Rpl13,,,,Pigr
206,Cpt2,,Pdcd2,Vav3,Rpl13a,,,,Pisd
207,Crip1,,Pdia3,Wsb1,Rpl14,,,,NA
208,Cyp2b10,,Pdlim1,Yipf1,Rpl15,,,,Pkp1
209,Cyp2c29,,Pdxdc1,Zfhx2,Rpl17,,,,Plxnb1
210,Cyp2c65,,Peli1,Zfhx3,Rpl18,,,,Poc1a
211,Cyp2d26,,Pgam1,Zmat4,Rpl18a,,,,Ppib
212,Cyp4f14,,Phlda1,Card19,Rpl21,,,,Ppp1r14b
213,NA,,Pitpnc1,1810046K07Rik,Rpl22,,,,Ppp2ca
214,Dbi,,Pkm,2210016L21Rik,Rpl23,,,,Ppp4r2
215,Dbn1,,Pms1,Acot7,Rpl23a,,,,Pradc1
216,Ddit4,,Pnrc1,Adh1,Rpl27a,,,,Prap1
217,Ddr1,,Polr1d,Agt,Rpl28,,,,Prdx1
218,Ddx24,,Prap1,Aldh2,Rpl29,,,,Prdx2
219,Dmpk,,Prelid1,Alox5,Rpl3,,,,Prom1
220,Dnajc18,,Prpf4b,Alox5ap,Rpl31,,,,Psma3
